ATOLL	AE T AA L
ATOLL(2)	AE T AO L
ATOLL(3)	AH T OW L
MIRACLE	M IH R AH K AH L
CALLOUS	K AE L AH S
GRANDIOSE	G R AE N D IY OW S
DEXTERITY	D EH K S T EH R AH T IY
DEXTERITY(2)	D EH K S T EH R IH T IY
BARRETTE	B ER EH T
CORDIAL	K AO R JH AH L
ALACRITY	AH L AE K R AH T IY
MARMALADE	M AA R M AH L EY D
ORCHIDS	AO R K AH D Z
DESPONDENCY	D IH S P AA N D AH N S IY
COMPOSURE	K AH M P OW ZH ER
JAUNTILY	JH AO N T AH L IY
HISPANIOLA	HH IH S P AA NG OW L AH
QUANTUM	K W AA N T AH M
CALAMINE	K AE L AH M AY N
EXASPERATION	EH K S AE S P ER EY SH AH N
SOPHOMORE	S AA F M AO R
REPROBATE	R EH P R AO B EY T
ANNOYANCE	AH N OY AH N S
PARALYSIS	P ER AE L AH S AH S
PARALYSIS(2)	P ER AE L IH S IH S
CHIMPANZEE	CH IH M P AE N Z IY
PEROXIDE	P ER AA K S AY D
AMPUTATION	AE M P Y AH T EY SH AH N
CONSPIRACY	K AH N S P IH R AH S IY
SINEWY	S IH N Y UW IY
FLABBERGASTED	F L AE B ER G AE S T IH D
BOISTEROUSLY	B OY S T AH R AH S L IY
LINOLEUM	L AH N OW L IY AH M
TAPIRS	T AE P AH R Z
REPUGNANCE	R IH P AH G N AH N S
IMPECCABLE	IH M P EH K AH B AH L
CONTAGIOUS	K AH N T EY JH AH S
STEVEDORES	S T IY V AH D OW R Z
COMMENDABLE	K AH M EH N D AH B AH L
INCESSANT	IH N S EH S AH N T
RICOCHET	R IH K AH SH EY
TRIBULATIONS	T R IH B Y AH L EY SH AH N Z
AZALEA	AH Z EY L Y AH
FLUORESCENT	F L UH R EH S AH N T
FLUORESCENT(2)	F L AO R EH S AH N T
RESERVOIR	R EH Z AH V W AA R
RESERVOIR(2)	R EH Z ER V W AA R
TRUCULENTLY	T R AH K Y AH L AH N T L IY
GENERALISSIMO	JH EH N EH R AH L IH S IH M OW
VOCIFEROUS	V OW S IH F ER AH S
MERENGUE	M ER EY NG
CLAUSTROPHOBIC	K L AO S T R AH F OW B IH K
METHUSELAH	M AH TH Y UW Z AH L AH
ENTREPRENEURS	AA N T R AH P R AH N ER Z
MONSIEUR	M AH S Y ER
PROVISO	P R AH V AY Z OW
DRAGOONS	D R AH G UW N Z
GARGOYLE	G AA R G OY L
ANECDOTE	AE N IH K D OW T
BRIGANDS	B R IH G AH N D Z
MANDIBLE	M AE N D AH B AH L
MANDIBLE(2)	M AE N D IH B AH L
CRAMPON	K R AE M P AO N
SHERPA	SH AH R P AH
MALIGN	M AH L AY N
BOROUGHS	B ER OW Z
MONOMANIA	M AA N OW M EY N IY AH
TAXIDERMY	T AE K S AH D ER M IY
PITEOUSLY	P IH T IY AH S L IY
STRENUOUS	S T R EH N Y UW AH S
INTIMATION	IH N T IH M EY SH AH N
CONUNDRUM	K AH N AH N D R AH M
ATROCITY	AH T R AA S AH T IY
VOLUMINOUS	V AH L UW M AH N AH S
PROPAGANDA	P R AA P AH G AE N D AH
CONSPICUOUS	K AH N S P IH K Y UW AH S
PREMONITION	P R EH M AH N IH SH AH N
MEMORANDUM	M EH M ER AE N D AH M
PASTRAMI	P AH S T R AA M IY
GERMINATE	JH ER M AH N EY T
PARENTHETICAL	P ER EH N TH EH T IH K AH L
CREMATORIA	K R IY M AH T AO R IY AH
MASSACRES	M AE S IH K ER Z
PETULANCE	P EH CH AH L AH N S
FACILITATE	F AH S IH L AH T EY T
EXTENUATION	IH K S T EH N Y AH W EY SH AH N
INCARCERATED	IH N K AA R S ER EY T IH D
APPENDECTOMY	AE P IH N D EH K T AH M IY
SUBTERRANEAN	S AH B T ER EY N IY AH N
FINANCIERS	F IH N AH N S IH R Z
TREACHEROUS	T R EH CH ER AH S
SPHINX	S F IH NG K S
LAMA	L AA M AH
CELERITY	S AH L EH R AH T IY
ACACIAS	AH K EY SH AH Z
SEMINOLE	S EH M IH N OW L
HALLUCINATIONS	HH AH L UW S AH N EY SH AH N Z
LABYRINTHINE	L AE B ER IH N TH IY N
EXCRUCIATING	IH K S K R UW SH IY EY T IH NG
LICHENOUS	L IH CH AH N AH S
CHANDELIERS	SH AE N D AH L IH Z
UNCOQUETTISH	AH N K OW K EH T IH SH
TEMPESTUOUS	T EH M P EH S CH UW AH S
PYRENEES	P IH R AH IY Z
